ticker,ticker-full,short-name,sector,industry,6-10--2025
LGCY,LGCY US Equity,LEGACY EDUCATION,Consumer Discretionary,Diversified Consumer Services,9.100000381
COUR,COUR US Equity,COURSERA,Consumer Discretionary,Diversified Consumer Services,8.649999619
UDMY,UDMY US Equity,UDEMY INC,Consumer Discretionary,Diversified Consumer Services,7.489999771
MCW,MCW US Equity,MISTER CAR WASH,Consumer Discretionary,Diversified Consumer Services,6.639999866
EWCZ,EWCZ US Equity,EUROPEAN WAX-A,Consumer Discretionary,Diversified Consumer Services,6.360000134
AMBO,AMBO US Equity,AMBOW EDUCAT-ADR,Consumer Discretionary,Diversified Consumer Services,2.519999981
CHGG,CHGG US Equity,CHEGG INC,Consumer Discretionary,Diversified Consumer Services,1.559999943
XWEL,XWEL US Equity,XWELL INC,Consumer Discretionary,Diversified Consumer Services,0.949000001
EEIQ,EEIQ US Equity,EPICQUEST EDUCAT,Consumer Discretionary,Diversified Consumer Services,0.50010097
DUOL,DUOL US Equity,DUOLINGO,Consumer Discretionary,Diversified Consumer Services,486.02
FTDR,FTDR US Equity,FRONTDOOR INC,Consumer Discretionary,Diversified Consumer Services,56.73
HRB,HRB US Equity,H&R BLOCK INC,Consumer Discretionary,Diversified Consumer Services,54.96
ADT,ADT US Equity,ADT INC,Consumer Discretionary,Diversified Consumer Services,8.34
BODI,BODI US Equity,BEACHBODY CO INC,Consumer Discretionary,Diversified Consumer Services,4.6
ZSPC,ZSPC US Equity,ZSPACE INC,Consumer Discretionary,Diversified Consumer Services,4.07
KIDZ,KIDZ US Equity,CLASSOVER HOLD-B,Consumer Discretionary,Diversified Consumer Services,3.88
AMST,AMST US Equity,AMESITE INC,Consumer Discretionary,Diversified Consumer Services,2.82
ALUR,ALUR US Equity,ALLURION TECHNOL,Consumer Discretionary,Diversified Consumer Services,2.71
NRDY,NRDY US Equity,NERDY INC,Consumer Discretionary,Diversified Consumer Services,1.81
ADD,ADD US Equity,COLOR STAR TECHN,Consumer Discretionary,Diversified Consumer Services,0.9
MYND,MYND US Equity,MYND.AI INC,Consumer Discretionary,Diversified Consumer Services,0.9
PET,PET US Equity,WAG! GROUP CO,Consumer Discretionary,Diversified Consumer Services,0.15
BH/A,BH/A US Equity,NBHSA INC - A,Consumer Discretionary,"Hotels, Restaurants & Leisure",1291
DPZ,DPZ US Equity,DOMINO'S PIZZA,Consumer Discretionary,"Hotels, Restaurants & Leisure",455.4899902
